Drug,Best_Model,Accuracy
M01AB,LightGBM,0.9803921568627451
M01AE,LightGBM,0.9860529986052998
N02BA,AutoGluon,0.9903047091412742
N02BE,LightGBM,0.9851551956815114
N05B,LightGBM,0.9848275862068966
N05C,TabNet,0.9988998899889989
R03,LightGBM,0.9974651457541192
R06,LightGBM,0.9902642559109874
